Location,Code,PM2.5_Avg_2019,PM2.5_Change_2010_2019,2021_AIC,Mean Growth_AIC,Death Rate,Mean Growth Rate (Death),Urban population,Mean Growth 2012-2022 (Urban population)
Republic of Korea,KOR,0.282192197,0.240049111,0.020507164,0.037153458,0.101313401,0.544573611,0.785079497,0.788684042
Republic of Moldova,MDA,0.113830272,0.285080597,0.000127249,0.000220568,0.123046233,0.466654216,0.342417089,0.343103475
Romania,ROU,0.125277061,0.273594994,3.24E-05,5.86E-05,0.283791956,0.629721472,0.473362031,0.473458395
Saint Lucia,LCA,0.057829816,0.485187532,3.04E-05,6.16E-05,0.415151686,0.681021875,0.063273855,0.067864492
Saint Vincent and the Grenadines,VCT,0.064243965,0.502118896,3.21E-05,5.94E-05,0.307095441,0.708639255,0.46625703,0.447546612
Saudi Arabia,SAU,0.834977987,0.454077389,4.17E-05,6.99E-05,0.156368705,0.749845977,0.82328913,0.81230992
Serbia,SRB,0.250690755,0.163887679,0.000950868,0.001678082,0.305245031,0.605990673,0.500948876,0.495911106
Seychelles,SYC,0.19009792,0.436225197,0.000201034,0.000333512,0.301202205,0.860308194,0.51857252,0.498686699
Singapore,SGP,0.117929255,0.331468573,1.90E-05,3.48E-05,0,0.544771717,1,1
Slovakia,SVK,0.163139517,0.233949859,7.09E-06,1.39E-05,0.067342412,0.556761136,0.466650466,0.47156424
Slovenia,SVN,0.13875816,0.240920432,8.66E-06,1.64E-05,0.025809988,0.549575628,0.48796547,0.476690335
South Africa,ZAF,0.212221041,0.500613886,0.000164843,0.000274998,0.825584545,0.573933302,0.633583281,0.608398668
Spain,ESP,0.060406862,0.33359737,1.02E-05,1.94E-05,0.225984881,0.547657864,0.783656183,0.771804396
Sri Lanka,LKA,0.292060118,0.406709177,0.001218228,0.002052296,0.672736877,0.569423621,0.062996135,0.065657771
Suriname,SUR,0.116441476,0.492415541,0.000126374,0.000139535,0.184251247,0.65471498,0.610115948,0.611796269
Sweden,SWE,0.010960984,0.401956513,0.000203182,0.000378467,0.149066013,0.613574149,0.866833299,0.852260118
Switzerland,CHE,0.054319113,0.318309636,2.42E-05,4.66E-05,0.076125255,0.586132371,0.700201347,0.699821316
Syrian Arab Republic,SYR,0.30856232,0.473523704,0.01058523,0.01095646,0.384964167,0.704258007,0.499745423,0.472218547
Tajikistan,TJK,0.814376803,0,5.76E-05,9.31E-05,0.161340632,0,0.166469948,0.164412192
Thailand,THA,0.296386823,0.386351935,0.000249942,0.000464644,0.133405628,0.537165141,0.45484737,0.41763189
Trinidad and Tobago,TTO,0.075254289,0.470157234,8.43E-05,0.000157017,0.256678128,0.61137644,0.46006619,0.465071187
Turkmenistan,TKM,0.345771975,0.217870015,2.94E-05,5.16E-05,0.187331528,0.591630701,0.461848226,0.441009799
Türkiye,TUR,0.27077577,0.444730484,5.38E-05,6.91E-05,0.51976546,0.624152229,0.73410632,0.708729468
Ukraine,UKR,0.13714893,0.275614876,0.000164641,0.00026694,0.025490218,0.441077746,0.651912796,0.648044635
United Arab Emirates,ARE,0.550463033,0.390668937,5.79E-05,9.79E-05,0.216225427,0.97715651,0.85585179,0.841922494
United Kingdom of Great Britain and Northern Ireland,GBR,0.058175194,0.33058735,1.19E-05,2.27E-05,0.368888419,0.585267575,0.819458909,0.80668997
United States of America,USA,0.026810384,0.385559824,1.90E-05,3.40E-05,0.460895512,0.595734497,0.804253743,0.794568632
Uruguay,URY,0.051358737,0.443740346,0.000603956,0.001025954,0.41273322,0.584432261,0.950102988,0.945323741
Uzbekistan,UZB,0.609503568,0.092597727,0.056993316,0.077412821,0.099073712,0.599270284,0.42680923,0.434275027
